experiment,structure,x,metric,value
scaling,array,2909194,memory_bytes,23273552.0000
scaling,array,2909194,query_us,1.1026
scaling,array,2909194,total_hits,1150.0000
scaling,tree,2909194,build_ms,3932.2799
scaling,tree,2909194,memory_bytes,1005095248.0000
scaling,tree,2909194,query_us,2.6393
scaling,tree,2909194,total_hits,1150.0000
scaling,tree,2909194,node_count,4809728.0000
scaling,array,3021086,build_ms,358.5895
scaling,array,3021086,memory_bytes,24168688.0000
scaling,array,3021086,query_us,1.0586
scaling,array,3021086,total_hits,1114.0000
scaling,tree,3021086,build_ms,4133.8374
scaling,tree,3021086,memory_bytes,1043697240.0000
scaling,tree,3021086,query_us,3.2441
scaling,tree,3021086,total_hits,1114.0000
scaling,tree,3021086,node_count,4994087.0000
scaling,array,3132978,build_ms,386.2857
scaling,array,3132978,memory_bytes,25063824.0000
scaling,array,3132978,query_us,1.2167
scaling,array,3132978,total_hits,1131.0000
scaling,tree,3132978,build_ms,4400.3133
scaling,tree,3132978,memory_bytes,1082229624.0000
scaling,tree,3132978,query_us,2.6657
scaling,tree,3132978,total_hits,1131.0000
scaling,tree,3132978,node_count,5177655.0000
scaling,array,3244870,build_ms,373.4856
scaling,array,3244870,memory_bytes,25958960.0000
scaling,array,3244870,query_us,1.5228
scaling,array,3244870,total_hits,1124.0000
scaling,tree,3244870,build_ms,4275.6121
scaling,tree,3244870,memory_bytes,1120696536.0000
scaling,tree,3244870,query_us,2.6803
scaling,tree,3244870,total_hits,1124.0000
scaling,tree,3244870,node_count,5360479.0000
scaling,array,3356763,build_ms,396.7030
scaling,array,3356763,memory_bytes,26854104.0000
scaling,array,3356763,query_us,1.0387
scaling,array,3356763,total_hits,1163.0000
scaling,tree,3356763,build_ms,4562.1205
scaling,tree,3356763,memory_bytes,1159197704.0000
scaling,tree,3356763,query_us,2.8627
scaling,tree,3356763,total_hits,1163.0000
scaling,tree,3356763,node_count,5543690.0000
scaling,array,3468655,build_ms,421.3850
scaling,array,3468655,memory_bytes,27749240.0000
scaling,array,3468655,query_us,1.2069
scaling,array,3468655,total_hits,1124.0000
scaling,tree,3468655,build_ms,4692.9250
scaling,tree,3468655,memory_bytes,1197677200.0000
scaling,tree,3468655,query_us,2.7637
scaling,tree,3468655,total_hits,1124.0000
scaling,tree,3468655,node_count,5726657.0000
scaling,array,3580547,build_ms,443.5368
scaling,array,3580547,memory_bytes,28644376.0000
scaling,array,3580547,query_us,1.0708
scaling,array,3580547,total_hits,1174.0000
scaling,tree,3580547,build_ms,4962.6936
scaling,tree,3580547,memory_bytes,1236372032.0000
scaling,tree,3580547,query_us,3.9522
scaling,tree,3580547,total_hits,1174.0000
scaling,tree,3580547,node_count,5912071.0000
scaling,array,3692439,build_ms,467.2359
scaling,array,3692439,memory_bytes,29539512.0000
scaling,array,3692439,query_us,47.2163
scaling,array,3692439,total_hits,1114.0000
scaling,tree,3692439,build_ms,5391.7508
scaling,tree,3692439,memory_bytes,1274875992.0000
scaling,tree,3692439,query_us,2.7295
scaling,tree,3692439,total_hits,1114.0000
scaling,tree,3692439,node_count,6095316.0000
scaling,array,3804331,build_ms,484.1291
scaling,array,3804331,memory_bytes,30434648.0000
scaling,array,3804331,query_us,1.1771
scaling,array,3804331,total_hits,1136.0000
scaling,tree,3804331,build_ms,5184.6718
scaling,tree,3804331,memory_bytes,1313360064.0000
scaling,tree,3804331,query_us,2.9550
scaling,tree,3804331,total_hits,1136.0000
scaling,tree,3804331,node_count,6278335.0000
scaling,array,3916223,build_ms,509.1898
scaling,array,3916223,memory_bytes,31329784.0000
scaling,array,3916223,query_us,1.3493
scaling,array,3916223,total_hits,1140.0000
scaling,tree,3916223,build_ms,5453.7232
scaling,tree,3916223,memory_bytes,1352005264.0000
scaling,tree,3916223,query_us,2.9082
scaling,tree,3916223,total_hits,1140.0000
scaling,tree,3916223,node_count,6463185.0000
scaling,array,4028115,build_ms,540.4963
scaling,array,4028115,memory_bytes,32224920.0000
scaling,array,4028115,query_us,1.1107
scaling,array,4028115,total_hits,1159.0000
scaling,tree,4028115,build_ms,5506.3595
scaling,tree,4028115,memory_bytes,1390543984.0000
scaling,tree,4028115,query_us,2.8451
scaling,tree,4028115,total_hits,1159.0000
scaling,tree,4028115,node_count,6646825.0000
scaling,array,4140007,build_ms,562.7220
